code	Class	Order	Family	Species	Common Name	C value	Ch. Num	Method	Cell Type	Std Sp.	Refs
Ppac	Secernentea	Diplogasterida	Diplogastridae	Pristionchus pacificus	Nematode	0.17		CS	WB		687
briC	Secernentea	Rhabditida	Rhabditidae	Caenorhabditis briggsae	Nematode	0.11		CS	WB	NS	662
	Adenophorea	Dorylaimida	Longidoridae	Longidorus kuiperi	Plant-parasitic nematode	0.06		FCM	WB	CE	653
	Adenophorea	Dorylaimida	Longidoridae	Xiphinema index	Nematode	0.11		FCM	WB	CE	593
Tspi	Adenophorea	Trichocephalida	Trichinellidae	Trichinella spiralis	Trichinosis roundworm	0.26		BCA	WB	NS	459
	Secernentea	Aphelenchida	Aphelenchidae	Aphelenchus avenae	Plant-parasitic nematode	0.04		FCM	WB	CE	653
Alum	Secernentea	Ascaridida	Ascarididae	Ascaris lumbricoides	Intestinal roundworm	0.32		FD	TS	NS	339
	Secernentea	Ascaridida	Ascarididae	Ascaris lumbricoides	Intestinal roundworm	0.68		FD	S	GD	384
Asum	Secernentea	Ascaridida	Ascarididae	Ascaris suum	Pig roundworm	0.25		BCA	WB	NS	459
	Secernentea	Ascaridida	Ascarididae	Parascaris univalens	Horse roundworm	1.20-2.10		FD	TS	NS	339
	Secernentea	Ascaridida	Ascarididae	Parascaris univalens	Horse roundworm	2.5		BCA	WB	GD	348
	Secernentea	Oxyurida	Oxyuridae	Aspiculuris tetraptera	Nematode	0.12		FCM	WB	CE	593
	Secernentea	Oxyurida	Oxyuridae	Syphacia obvelata	Nematode	0.06		FCM	WB	CE	593
	Secernentea	Oxyurida	Thelastomatidae	Hammerschmidtiella diesingi	Nematode	0.07		FCM	WB	CE	593
	Secernentea	Rhabditida	Cephalobidae	Acrobeloides maximus	Nematode	0.26		SCF	S	CE	130
	Secernentea	Rhabditida	Cephalobidae	Acrobeloides nanus	Nematode	0.14		SCF	S	CE	130
Hbac	Secernentea	Rhabditida	Heterorhabditidae	Heterorhabditis bacteriophora	Nematode	0.04		BCA	WB	NS	192
	Secernentea	Rhabditida	Heterorhabditidae	Heterorhabditis bacteriophora	Nematode	0.05		FCM	WB	CE	593
Pred	Secernentea	Rhabditida	Panagrolaimidae	Panagrellus redividus	Nematode	0.08		BCA	WB	NS	459
	Secernentea	Rhabditida	Panagrolaimidae	Panagrellus redividus	Nematode	0.16		SCF	S	CE	130
	Secernentea	Rhabditida	Panagrolaimidae	Panagrellus silusiae	Nematode	0.43		FD	S	GD	467
	Secernentea	Rhabditida	Panagrolaimidae	Panagrolaimus rigidus	Nematode	0.22		SCF	S	CE	130
	Secernentea	Rhabditida	Rhabditidae	Caenorhabditis briggsae	Nematode	0.13		BCA	WB	NS	459
