code	species	clade	Mating	M4	M3	M2	Parasitism	P3	P2	Ref
Acan	Angiostrongylus cantonensis	V	gonochoristic	A	A	A	animal	A	A	"Mackerras, Mary J., and DOROTHY F. Sandars. ""The life history of the rat lung-worm, Angiostrongylus cantonensis (Chen)(Nematoda: Metastrongylidae)."" Australian Journal of Zoology 3, no. 1 (1955): 1-21.; Lindo, John F., Cecilia Waugh, John Hall, Colette Cunningham-Myrie, Deanna Ashley, Mark L. Eberhard, James J. Sullivan et al. ""Enzootic Angiostrongylus cantonensis in rats and snails after an outbreak of human Eosinophilic Meningitis, Jamaica."" Emerging infectious diseases 8, no. 3 (2002)."
Asim	Anisakis simplex	III	gonochoristic	A	A	A	animal	A	A	"Mattiucci, S., G. Nascetti, R. Clanchi, L. Paggi, P. Arduino, L. Margolis, J. Brattey et al. ""Genetic and ecological data on the Anisakis simplex complex, with evidence for a new species (Nematoda, Ascaridoidea, Anisakidae)."" The Journal of parasitology 83, no. 3 (1997): 401-416.; Martín-Sánchez, J., M. E. Artacho-Reinoso, M. Díaz-Gavilán, and A. Valero-López. ""Structure of Anisakis simplex sl populations in a region sympatric for A. pegreffii and A. simplex ss: Absence of reproductive isolation between both species."" Molecular and biochemical parasitology 141, no. 2 (2005): 155-162."
Asuu	Ascaris suum	III	gonochoristic	A	A	A	animal	A	A	"Jex, Aaron R., Shiping Liu, Bo Li, Neil D. Young, Ross S. Hall, Yingrui Li, Linfeng Yang et al. ""Ascaris suum draft genome."" Nature 479, no. 7374 (2011): 529-533.; Cotton, James A., Catherine J. Lilley, Laura M. Jones, Taisei Kikuchi, Adam J. Reid, Peter Thorpe, Isheng J. Tsai et al. ""The genome and life-stage specific transcriptomes of Globodera pallida elucidate key aspects of plant parasitism by a cyst nematode."" Genome Biol 15 (2014): R43."
Avit	Acanthocheilonema viteae	III	gonochoristic	A	A	A	animal	A	A	"Eisenbeiss, Wilhelm F., H. Apfel, and T. F. Meyer. ""Recovery, distribution, and development of Acanthocheilonema viteae third-and early fourth-stage larvae in adult jirds."" The Journal of parasitology (1991): 580-586; Philipp, Mario, Theodore B. Davis, Neil Storey, and Clotilde KS Carlow. ""Immunity in filariasis: perspectives for vaccine development."" Annual Reviews in Microbiology 42, no. 1 (1988): 685-716."
Bmal	Brugia malayi	III	gonochoristic	A	A	A	animal	A	A	"Philipp, Mario, Theodore B. Davis, Neil Storey, and Clotilde KS Carlow. ""Immunity in filariasis: perspectives for vaccine development."" Annual Reviews in Microbiology 42, no. 1 (1988): 685-716."
Bpah	Brugia pahangi	III	gonochoristic	A	A	A	animal	A	A	"Rogers, Rosemary, D. S. Ellis, and D. A. Denham. ""Studies with Brugia pahangi. 14. Intrauterine development of the microfilaria and a comparison with other filarial species."" Journal of helminthology 50, no. 04 (1976): 251-257."
briC	Caenorhabditis briggsae	V	androdioecy	B	B	B	free	C	B	Genomic Insights into the Origin of Parasitism in the Emerging Plant Pathogen Bursaphelenchus xylophilus
Btim	Brugia timori	III	gonochoristic	A	A	A	animal	A	A	"Philipp, Mario, Theodore B. Davis, Neil Storey, and Clotilde KS Carlow. ""Immunity in filariasis: perspectives for vaccine development."" Annual Reviews in Microbiology 42, no. 1 (1988): 685-716."
Bxyl	Bursaphelenchus xylophilus	IV	gonochoristic	A	A	A	plant	B	A	"Kikuchi, Taisei, James A. Cotton, Jonathan J. Dalzell, Koichi Hasegawa, Natsumi Kanzaki, Paul McVeigh, Takuma Takanashi et al. ""Genomic insights into the origin of parasitism in the emerging plant pathogen Bursaphelenchus xylophilus."" PLoS Pathogens 7, no. 9 (2011): e1002219."
C11sp	Caenorhabditis sp. 11	V	androdioecy	B	B	B	free	C	B	"Félix, Marie-Anne, Richard Jovelin, Céline Ferrari, Shery Han, Young Ran Cho, Erik C. Andersen, Asher D. Cutter, and Christian Braendle. ""Species richness, distribution and genetic diversity of Caenorhabditis nematodes in a remote tropical rainforest."" BMC evolutionary biology 13, no. 1 (2013): 10.; Kiontke, Karin C., Marie-Anne Félix, Michael Ailion, Matthew V. Rockman, Christian Braendle, Jean-Baptiste Pénigault, and David HA Fitch. ""A phylogeny and molecular barcodes for Caenorhabditis, with numerous new species from rotting fruits."" BMC evolutionary biology 11, no. 1 (2011): 339."
