Acan Angiostrongylus_cantonensis_v1.5.fa_4 +++
Acos Angiostrongylus_costaricensis_v1.5.fa_4 +++
Asim Anisakis_simplex_v1.5.fa_4 +++
Alum Ascaris_lumbricoides_testes_v1.5.fa_4 +++
Bpah Brugia_pahangi_v1.5.fa_4 +++
Btim Brugia_timori_v1.fa_4 +++
Cgol Cylicostephanus_goldi_v1.fa_4 +++
Dmed Dracunculus_medinensis_v2.fa_4 +++
Eela Elaeophora_elaphi_v1.fa_4 +++
Ever Enterobius_vermicularis_v1.fa_4 +++
Gpul Gongylonema_pulchrum_v1.fa_4 +++
Hpla Haemonchus_placei_v1.5.fa_4 +++
Hbak Heligmosomoides_bakeri_v1.5.fa_4 +++
Nbra Nippostrongylus_brasiliensis_v1.5.fa_4 +++
Ofle Onchocerca_flexuosa_v1.fa_4 +++
Ooch Onchocerca_ochengi_v1.fa_4 +++
Ovol Onchocerca_volvulus_v3.fa_4 +++
Pequ Parascaris_equorum_v1.fa_4 +++
Ptri Parastrongyloides_trichosuri_v2.fa_4 +++
Rsp1 Rhabditophanes_sp_v2.fa_4 +++
Sbat Soboliphyme_baturini_v1.fa_4 +++
Spap Strongyloides_papillosus_v2.1.fa_4 +++
Srat Strongyloides_ratti_v5.fa_4 +++
Sste Strongyloides_stercoralis_v2.fa_4 +++
Sven Strongyloides_venezuelensis_v2.fa_4 +++
Svul Strongylus_vulgaris_v1.fa_4 +++ -
Smur Syphacia_muris_v1.fa_4 +++
Tcal Thelazia_callipaeda_v1.fa_4 +++
Tcan Toxocara_canis_v1.5.fa_4 +++
Ttri Trichuris_trichiura_v2.fa +++
Wban Wuchereria_bancrofti_v2.fa_4 +++
Mflo meloidogyne.velvet.fa ++
Dviv dictyocaulus.velvet.fa ++
Ebre enoplus.clc.fa ++
Rcul romanomermis.clc.fa ++
Avit Acanthocheilonema_viteae_v1.0.fa ++
Asuu a_suum.PRJNA62057.WS238.genomic.fa ++
Bxyl BurXv1.2.supercontigs.fa ++
Hbac Heterorhabditis_bacteriophora-1.2.1.contigs.fa ++
Haor Howardula_aoronymphium_clc_1.fa ++
Hcon h_contortus.PRJEB506.WS238.genomic.fa ++
Srat Sratti_v4.genome.fa -
briC c_briggsae.PRJNA10731.WS238.genomic.fa ++
Cele c_elegans.WS235.genomic.fa ++
Cjap c_japonica.PRJNA12591.WS238.genomic.fa ++
Bmal b_malayi.PRJNA10729.WS238.genomic.fa ++
Cbre c_brenneri.PRJNA20035.WS238.genomic.fa ++
Crem c_remanei.PRJNA53967.WS238.genomic.fa ++
Gpal Gpal.v1.0.fas ++
Lsig Litomosoides_sigmodontis_2.1.fna ++
Ppac p_pacificus.PRJNA12644.WS238.genomic.fa ++
Lloa loa_loa_v3_3_supercontigs.fasta ++
Mhap m_hapla.PRJNA29083.WS238.genomic.fa ++
Minc m_incognita.PRJEA28837.WS238.genomic.fa ++
C5sp c_sp5.WS230.genomic.fa ++
Dimm Dirofilaria_immitis_2.2.fa ++
Ooch Onchocerca_ochengi_nuclear_assembly_nOo.2.0.fna -
Ovol onchocerca_volvulus_1_supercontigs.fasta -
Otip Oscheius_tipulae_clc3_1.fa ++
Pred Panagrellus_redivivus.KB454917-KB455574.fasta ++
C11sp Caenorhabditis_sp11_JU1373-3.0.1.supercontigs.fa ++
Cang c_angaria.PRJNA51225.WS238.genomic.fa ++
Tmur Tmuris_v2b.genome_scaffolds.fa ++
Tspi t_spiralis.PRJNA12603.WS238.genomic.fa ++
Wban wuchereria_bancrofti_1_supercontigs.fasta -
Acas Acas20100210.contigs.agp.linear.fa +
Agam Anopheles_gambiae._S-4.2.supercontigs.fa +
Acal A_californica_v0.assembly.fasta +
Dpul Daphnia_pulex.fasta +
Dsim dsim-all-chromosome-r1.4.fasta +
Lgi Lotgi1_assembly_scaffolds.fasta +
Nvi Nvit_2.0.linear.fa +
Nve Nemve1.fasta +
Ath Ath_TAIR10.fas +
Vcar Vcarteri_199.fa +
Alyr Alyrata_107.fa +
Hduj Hypsibius_dujardini_nHd.2.3.abv500.fna ++
Gros nGr.v1.1.fa ++
Mchi 1_uw_chwd.change.a.fasta ++
Rsim R_Similis_s_7_1_sequence_paired_assembly.fa ++
Pcof Pcoffeae_LargeContigs.fasta ++
Mjav Mjav_consensus_contigs_spades.fasta ++
