AJ920342.1.1737	Cylicocyclus insigne
AJ966502.1.1749	Radopholus similis
CACX01001817.29572.31281	Strongyloides ratti
AB205054.1.1740	Strongyloides procyonis
AY508018.1.1708	Bursaphelenchus hofmanni
AY508014.1.1706	Bursaphelenchus fraudulentus
JX154585.1.1711	Bursaphelenchus sp. JW-2012
FJ501985.1.1706	Bursaphelenchus doui
AF202165.1.1741	Turbatrix aceti
AF036599.1.1759	Panagrellus redivivus
AF083007.1.1737	Panagrellus redivivus
AF519224.1.1727	Howardula aoronymphium
AY942621.1.1655	Meloidogyne floridensis
CABB01000393.6536.8311	Meloidogyne incognita
CABB01000393.13387.15162	Meloidogyne incognita
CABB01000393.21272.23049	Meloidogyne incognita
JQ957897.1.1701	Globodera sp. 4 JH-2012
AF036592.1.1766	Globodera pallida
AY593874.1.1701	Globodera pallida
EU855120.1.1756	Globodera rostochiensis
FJ040399.1.1701	Globodera achilleae
FJ040400.1.1701	Globodera artemisiae
AY284677.1.1719	Chiloplacus propinquus
AY284662.1.1717	Cephalobus persegnis
AF036643.1.1744	Diplogaster lethieri
AF082996.1.1723	Rhabditoides inermis
U81583.1.1705	Cuticularia sp.
AF036593.1.1718	Heterorhabditis bacteriophora
AF083004.1.1734	Heterorhabditis hepialus
AJ920368.1.1736	Heterorhabditis zealandica
AY295805.1.1709	Crenosoma mephitidis
AJ920355.1.1737	Heligmosomoides polygyrus
AJ920354.1.1737	Filarinema flagrifer
L04153.3.1750	Haemonchus contortus
L04154.3.1750	Haemonchus placei
AF082996.1.1723	Rhabditoides inermis
U81583.1.1705	Cuticularia sp.
AF036593.1.1718	Heterorhabditis bacteriophora
AF083004.1.1734	Heterorhabditis hepialus
AJ920368.1.1736	Heterorhabditis zealandica
AY295805.1.1709	Crenosoma mephitidis
AJ920355.1.1737	Heligmosomoides polygyrus
AJ920354.1.1737	Filarinema flagrifer
L04153.3.1750	Haemonchus contortus
L04154.3.1750	Haemonchus placei
L04152.3.1750	Haemonchus similis
AJ920349.1.1760	Kalicephalus cristatus
AJ920340.1.1737	Cyclodontostomum purvisi
AJ920339.1.1757	Hypodontus macropi
AJ920337.1.1757	Labiostrongylus bipapillosus
AJ920341.1.1737	Chabertia ovina
AJ920346.1.1737	Deletrocephalus dimidiatus
JN636064.1.1725	Caenorhabditis sp. 7 KK-2011
JN636074.1.1730	Caenorhabditis sp. 18 KK-2011
JN636077.1.1729	Caenorhabditis sp. 15 KK-2011 	
EU196001.1.1706	Caenorhabditis elegans
ABEG02006517.3670.5412	Caenorhabditis brenneri
JN636062.1.1727	Caenorhabditis sp. 10 KK-2011
JN636061.214.1967	Caenorhabditis briggsae
JN636060.1.1724	Caenorhabditis sp. 9 KK-2011
AF083006.1.1701	Caenorhabditis angaria
AY602181.1.1704	Caenorhabditis sp. DF5070
AF083025.1.1710	Caenorhabditis drosophilae
EU196003.1.1730	Diploscapter sp. JU359
AF083024.1.1743	Protorhabditis sp. SB208
EU196012.1.1715	Cruznema tripartitum
EU196009.1.1677	Oscheius tipulae
AF082998.1.1709	Oscheius dolichuroides
AF082995.1.1717	Oscheius sp. DF5000
U94376.1.1754	Hysterothylacium reliquens
U94374.1.1753	Hysterothylacium fortalezae
U94375.1.1754	Hysterothylacium pelagicum
U94377.1.1754	heringascaris inquies
U94372.1.1755	Goezia pelagia
U94370.1.1754	Contracaecum multipapillatum
AY702702.1.1730	Contracaecum microcephalum
EF180072.1.1754	Contracaecum eudyptulae
JN256991.1.1705	Baylisascaris ailuri
JN256988.1.1705	Baylisascaris transfuga
U94368.1.1754	Baylisascaris procyonis
AF036587.1.1741	Ascaris suum
